,line_number,code_enc,tokens,has_external_call,has_require_assert,pragma_major,pragma_minor,pragma_patch,label
129,0.005677210056772101,115,5,0,0,0,4,24,True
152,0.005271695052716951,71,8,1,0,0,4,25,True
295,0.21897810218978103,292,0,0,0,0,4,23,False
221,0.006488240064882401,73,2,1,0,0,4,25,True
153,0.017437145174371452,248,9,1,0,0,4,18,True
70,0.2266828872668289,146,6,0,0,0,4,13,True
15,0.0089213300892133,108,2,0,0,0,4,15,True
384,0.01013787510137875,154,10,0,0,0,4,25,False
74,0.28588807785888076,285,7,0,0,0,4,13,True
220,0.005271695052716951,177,4,1,0,0,4,0,True
197,0.05352798053527981,190,5,1,0,0,4,23,True
164,0.0113544201135442,48,6,1,0,0,4,18,True
265,0.00932684509326845,114,4,0,0,0,4,24,False
341,0.012976480129764802,105,6,0,0,0,4,19,False
91,0.006893755068937551,167,4,1,0,0,4,25,True
130,0.00932684509326845,159,6,1,0,0,4,18,True
298,0.005677210056772101,44,2,0,0,0,4,13,False
368,0.031224655312246555,23,3,0,0,0,4,19,False
52,0.04055150040551501,47,8,1,0,0,4,16,True
287,0.006893755068937551,137,9,1,0,0,4,11,False
411,0.021897810218978103,37,5,1,0,0,4,16,False
291,0.029197080291970802,78,2,0,0,0,4,19,False
102,0.01581508515815085,22,2,0,0,0,4,19,True
57,0.015004055150040552,63,6,0,0,0,4,0,True
134,0.006488240064882401,1,7,1,0,0,5,0,True
24,0.10665044606650446,262,5,0,0,0,4,16,True
82,0.006082725060827251,156,4,0,0,0,4,25,True
308,0.024330900243309004,292,0,0,0,0,4,9,False
372,0.05717761557177616,292,0,0,0,0,4,16,False
340,0.015004055150040552,243,3,1,0,0,4,25,False
257,0.007299270072992701,249,5,1,0,0,4,0,False
393,0.12368207623682076,292,0,0,0,0,4,16,False
161,0.006488240064882401,70,7,1,0,0,4,24,True
263,0.01338199513381995,292,0,0,0,0,4,18,False
122,0.015004055150040552,158,6,1,0,0,4,19,True
66,0.006893755068937551,270,7,0,0,0,4,25,True
224,0.0016220600162206,17,0,0,0,0,4,10,False
145,0.00770478507704785,196,2,0,0,0,4,25,True
178,0.0705596107055961,31,3,1,0,0,4,9,True
148,0.08596918085969181,274,7,1,0,0,4,24,True
344,0.0032441200324412004,79,2,0,0,0,4,19,False
114,0.02068126520681265,158,6,1,0,0,4,19,True
400,0.03527980535279806,205,1,0,0,0,4,18,False
423,0.08799675587996755,17,0,0,0,0,4,16,False
335,0.0024330900243309007,203,5,0,0,0,4,25,False
260,0.0036496350364963502,281,0,0,0,0,4,19,False
315,0.010948905109489052,261,5,1,0,0,4,10,False
355,0.011759935117599351,33,1,0,0,0,4,23,False
174,0.08475263584752636,274,7,1,0,0,4,24,True
299,0.0113544201135442,292,0,0,0,0,4,24,False
436,0.0121654501216545,292,0,0,0,0,4,19,False
234,0.0,18,0,0,0,0,4,19,False
216,0.05312246553122466,93,4,1,0,0,4,0,True
156,0.038929440389294405,34,4,1,0,0,4,18,True
414,0.0008110300081103001,3,1,0,0,0,4,15,False
55,0.06366585563665855,59,3,0,0,0,4,16,True
359,0.004460665044606651,111,4,0,0,0,4,21,False
403,0.006488240064882401,220,4,0,1,0,4,22,False
365,0.0032441200324412004,81,2,0,0,0,4,21,False
397,0.012976480129764802,103,4,0,0,0,4,19,False
277,0.0028386050283860506,199,5,0,0,0,4,0,False
39,0.01662611516626115,256,4,0,0,0,4,23,True
244,0.014598540145985401,222,4,1,1,0,4,19,False
62,0.05231143552311436,265,6,0,0,0,4,0,True
304,0.008110300081103,292,0,0,0,0,4,10,False
97,0.006488240064882401,220,4,0,1,0,4,22,True
46,0.012976480129764802,184,5,1,0,0,4,21,True
50,0.019464720194647202,252,5,0,0,0,4,16,True
360,0.0036496350364963502,141,2,0,0,0,4,0,False
249,0.00851581508515815,249,5,1,0,0,4,24,False
77,0.28832116788321166,288,7,0,0,0,4,13,True
71,0.28345498783454987,239,6,0,0,0,4,13,True
3,0.00770478507704785,112,2,0,0,0,4,24,True
162,0.008110300081103,83,4,1,0,0,4,13,True
323,0.023114355231143552,27,3,0,0,0,4,18,False
388,0.004866180048661801,238,3,0,0,0,4,15,False
109,0.021897810218978103,158,6,1,0,0,4,19,True
311,0.0016220600162206,17,0,0,0,0,4,16,False
172,0.017437145174371452,48,6,1,0,0,4,19,True
364,0.00770478507704785,110,2,0,0,0,4,19,False
281,0.20762368207623683,42,2,0,0,0,4,23,False
63,0.05312246553122466,236,6,0,0,0,4,0,True
349,0.06528791565287916,268,6,0,0,0,4,11,False
362,0.00770478507704785,29,4,1,0,0,4,18,False
26,0.005271695052716951,244,2,0,0,0,4,15,True
289,0.0012165450121654502,14,2,0,0,0,4,24,False
232,0.010543390105433901,222,4,1,1,0,4,18,False
61,0.05190592051905921,266,5,0,0,0,4,0,True
157,0.0113544201135442,48,6,1,0,0,4,18,True
7,0.015004055150040552,133,7,0,0,0,4,23,True
165,0.012976480129764802,39,5,1,0,0,4,24,True
326,0.0012165450121654502,15,2,0,0,0,4,19,False
275,0.038929440389294405,34,4,1,0,0,4,18,False
347,0.030008110300081103,23,3,0,0,0,4,19,False
144,0.006893755068937551,225,3,0,1,0,4,25,True
93,0.019059205190592052,91,4,0,0,0,4,0,True
60,0.05150040551500406,263,5,0,0,0,4,0,True
105,0.0089213300892133,28,2,0,0,0,4,15,True
339,0.0012165450121654502,13,4,0,0,0,4,25,False
116,0.016220600162206,158,6,1,0,0,4,19,True
334,0.10097323600973236,281,0,0,0,0,4,24,False
86,0.007299270072992701,163,4,0,0,0,4,25,True
44,0.0089213300892133,224,5,0,1,0,4,21,True
385,0.0089213300892133,281,0,0,0,0,4,19,False
247,0.033657745336577456,188,1,0,0,0,4,24,False
318,0.00040551500405515005,8,2,0,0,0,4,19,False
0,0.0121654501216545,218,5,1,1,0,4,22,True
33,0.00851581508515815,87,2,0,0,0,4,23,True
319,0.004460665044606651,41,2,1,0,0,4,10,False
176,0.022303325223033254,37,5,1,0,0,4,16,True
228,0.011759935117599351,281,0,0,0,0,4,25,False
264,0.015004055150040552,49,6,1,0,0,4,18,False
392,0.0089213300892133,205,1,0,0,0,4,19,False
115,0.0113544201135442,158,6,1,0,0,4,25,True
53,0.04136253041362531,259,4,0,0,0,4,16,True
118,0.017437145174371452,158,6,1,0,0,4,19,True
27,0.006488240064882401,86,2,0,0,0,4,19,True
17,0.004460665044606651,138,2,0,0,0,4,0,True
292,0.0008110300081103001,3,1,0,0,0,4,25,False
398,0.04501216545012166,118,5,0,0,0,4,15,False
49,0.008110300081103,237,11,0,0,0,4,9,True
302,0.005677210056772101,197,1,0,0,0,4,19,False
246,0.004866180048661801,253,4,0,0,0,4,19,False
225,0.013787510137875101,292,0,0,0,0,4,21,False
346,0.01013787510137875,292,0,0,0,0,4,18,False
248,0.004460665044606651,272,4,1,0,0,4,0,False
350,0.010543390105433901,281,0,0,0,0,4,19,False
231,0.036901865369018655,24,3,0,0,0,4,19,False
5,0.006488240064882401,106,2,0,0,0,4,24,True
45,0.009732360097323601,55,4,1,0,0,4,21,True
383,0.008110300081103,104,4,0,0,0,4,25,False
251,0.013787510137875101,292,0,0,0,0,4,19,False
316,0.0024330900243309007,203,5,0,0,0,4,25,False
404,0.04217356042173561,36,6,0,0,0,4,24,False
120,0.021492295214922953,158,6,1,0,0,4,19,True
180,0.07745336577453366,206,12,1,0,0,4,9,True
412,0.024330900243309004,142,1,0,0,0,4,18,False
348,0.005271695052716951,53,2,0,0,0,4,25,False
203,0.015409570154095702,48,6,1,0,0,4,19,True
133,0.006893755068937551,60,7,1,0,0,4,19,True
132,0.00932684509326845,0,7,1,0,0,4,24,True
354,0.0016220600162206,17,0,0,0,0,4,25,False
136,0.007299270072992701,61,7,1,0,0,4,2,True
154,0.038929440389294405,34,4,1,0,0,4,18,True
258,0.005271695052716951,122,3,0,0,0,4,25,False
40,0.019059205190592052,258,4,0,0,0,4,23,True
101,0.010948905109489052,198,6,1,0,0,4,2,True
428,0.0113544201135442,292,0,0,0,0,4,25,False
358,0.0032441200324412004,76,2,0,0,0,4,18,False
131,0.010948905109489052,279,2,1,0,0,4,24,True
422,0.0008110300081103001,6,2,0,0,0,4,9,False
387,0.0,18,0,0,0,0,4,10,False
330,0.0012165450121654502,12,2,0,0,0,4,24,False
110,0.021492295214922953,158,6,1,0,0,4,19,True
151,0.18815896188158962,193,4,1,0,0,4,11,True
171,0.017842660178426603,48,6,1,0,0,4,19,True
35,0.006893755068937551,86,2,0,0,0,4,23,True
286,0.009732360097323601,292,0,0,0,0,4,13,False
374,0.0016220600162206,17,0,0,0,0,4,11,False
305,0.005677210056772101,292,0,0,0,0,4,24,False
313,0.08434712084347121,121,2,0,0,0,4,24,False
282,0.012976480129764802,241,6,0,0,0,4,24,False
442,0.005271695052716951,109,2,0,0,0,4,19,False
210,0.006082725060827251,245,5,1,0,0,4,24,True
188,0.027575020275750203,94,7,1,0,0,4,23,True
418,0.005677210056772101,214,5,1,1,0,4,10,False
37,0.011759935117599351,87,2,0,0,0,4,23,True
266,0.006893755068937551,26,7,1,0,0,4,25,False
230,0.01419302514193025,131,5,0,0,0,4,24,False
29,0.006082725060827251,170,3,0,0,0,4,11,True
245,0.00040551500405515005,10,2,0,0,0,4,24,False
353,0.00851581508515815,126,6,0,0,0,4,21,False
290,0.00770478507704785,282,4,1,0,0,4,19,False
261,0.05758313057583131,233,8,0,0,0,4,23,False
18,0.004866180048661801,243,3,1,0,0,4,0,True
438,0.0016220600162206,17,0,0,0,0,4,25,False
399,0.006488240064882401,169,4,0,0,0,4,24,False
65,0.004460665044606651,267,5,0,0,0,4,25,True
408,0.00770478507704785,136,7,0,0,0,4,15,False
104,0.01662611516626115,143,3,0,0,0,4,19,True
79,0.2899432278994323,290,7,0,0,0,4,13,True
48,0.007299270072992701,260,4,0,0,0,4,9,True
108,0.015004055150040552,158,6,1,0,0,4,19,True
417,0.024330900243309004,197,1,0,0,0,4,19,False
375,0.0008110300081103001,3,1,0,0,0,4,18,False
187,0.006082725060827251,71,8,1,0,0,4,18,True
389,0.0032441200324412004,80,2,0,0,0,4,24,False
419,0.0113544201135442,292,0,0,0,0,4,19,False
69,0.21167883211678834,240,8,0,0,0,4,13,True
427,0.01338199513381995,292,0,0,0,0,4,24,False
219,0.010543390105433901,181,5,1,0,0,4,18,True
421,0.006082725060827251,292,0,0,0,0,4,24,False
83,0.006488240064882401,90,4,0,0,0,4,25,True
322,0.0024330900243309007,200,5,0,0,0,4,15,False
99,0.0121654501216545,186,4,1,0,0,4,16,True
31,0.006488240064882401,85,2,0,0,0,4,19,True
317,0.01662611516626115,292,0,0,0,0,4,24,False
140,0.0170316301703163,273,7,0,0,0,4,15,True
138,0.17396593673965938,210,17,1,1,0,4,23,True
226,0.0008110300081103001,3,1,0,0,0,4,19,False
141,0.010543390105433901,165,3,0,0,0,4,0,True
369,0.005271695052716951,255,3,0,0,0,4,0,False
345,0.00851581508515815,292,0,0,0,0,4,24,False
189,0.028386050283860504,95,7,1,0,0,4,23,True
175,0.017437145174371452,48,6,1,0,0,4,19,True
211,0.017437145174371452,48,6,1,0,0,4,19,True
386,0.005677210056772101,189,3,1,0,0,4,16,False
20,0.01419302514193025,183,6,1,0,0,4,24,True
126,0.0113544201135442,158,6,1,0,0,4,25,True
253,0.009732360097323601,151,5,1,0,0,4,24,False
209,0.006893755068937551,102,5,1,0,0,4,16,True
67,0.00770478507704785,269,8,0,0,0,4,25,True
142,0.004866180048661801,147,7,0,0,0,4,0,True
429,0.005271695052716951,221,4,1,1,0,4,18,False
75,0.28669910786699104,286,7,0,0,0,4,13,True
155,0.017437145174371452,248,9,1,0,0,4,18,True
273,0.0,18,0,0,0,0,4,19,False
241,0.04744525547445256,117,5,0,0,0,4,15,False
32,0.009732360097323601,87,2,0,0,0,4,23,True
420,0.012570965125709651,152,6,0,0,0,4,23,False
200,0.005271695052716951,246,6,1,0,0,4,24,True
149,0.004460665044606651,41,2,1,0,0,4,10,True
381,0.010543390105433901,33,1,0,0,0,4,24,False
76,0.2875101378751014,287,7,0,0,0,4,13,True
78,0.289132197891322,289,7,0,0,0,4,13,True
367,0.11476074614760746,16,5,0,0,0,4,16,False
21,0.007299270072992701,127,3,0,0,0,4,24,True
196,0.04257907542579076,242,5,1,0,0,4,23,True
336,0.0024330900243309007,204,5,0,0,0,5,0,False
268,0.00040551500405515005,9,2,0,0,0,4,19,False
294,0.20884022708840227,124,13,0,0,0,4,24,False
73,0.2850770478507705,284,7,0,0,0,4,13,True
217,0.07015409570154095,280,3,1,0,0,4,0,True
332,0.32522303325223034,208,1,0,1,0,4,23,False
12,0.09407948094079481,130,9,0,0,0,4,9,True
192,0.040957015409570155,247,8,1,0,0,4,23,True
4,0.006893755068937551,132,2,0,0,0,4,24,True
377,0.06366585563665855,150,3,0,0,0,4,9,False
255,0.01013787510137875,235,2,0,0,0,4,25,False
87,0.00770478507704785,51,3,0,0,0,4,25,True
380,0.01013787510137875,123,7,0,0,0,4,11,False
233,0.023114355231143552,292,0,0,0,0,4,25,False
16,0.00932684509326845,89,3,1,0,0,4,15,True
370,0.20965125709651258,67,2,0,0,0,4,23,False
22,0.00770478507704785,88,3,1,0,0,4,24,True
300,0.0008110300081103001,4,3,0,0,0,4,10,False
125,0.0113544201135442,158,6,1,0,0,4,25,True
378,0.004866180048661801,231,4,0,0,0,4,25,False
64,0.013787510137875101,65,7,1,0,0,4,24,True
25,0.006893755068937551,54,3,0,0,0,4,10,True
34,0.005271695052716951,53,2,0,0,0,4,25,True
361,0.0227088402270884,99,8,0,0,0,4,0,False
237,0.0024330900243309007,203,5,0,0,0,4,25,False
119,0.025141930251419302,158,6,1,0,0,4,19,True
342,0.02473641524736415,292,0,0,0,0,4,22,False
405,0.004866180048661801,172,5,0,0,0,4,24,False
434,0.01419302514193025,164,2,0,0,0,4,19,False
337,0.015004055150040552,219,5,1,1,0,4,22,False
206,0.015409570154095702,48,6,1,0,0,4,19,True
357,0.010948905109489052,292,0,0,0,0,4,18,False
30,0.006488240064882401,87,2,0,0,0,4,19,True
238,0.004866180048661801,254,4,0,0,0,4,19,False
229,0.00770478507704785,292,0,0,0,0,4,18,False
124,0.025141930251419302,158,6,1,0,0,4,19,True
376,0.0016220600162206,17,0,0,0,0,4,0,False
271,0.009732360097323601,56,5,1,0,0,4,24,False
181,0.017437145174371452,248,9,1,0,0,4,18,True
193,0.005271695052716951,246,6,1,0,0,4,24,True
84,0.006893755068937551,276,2,0,0,0,4,25,True
267,0.025547445255474453,21,1,0,0,0,4,18,False
366,0.047850770478507706,149,7,0,0,0,4,23,False
42,0.00770478507704785,215,6,1,1,0,4,18,True
222,0.00040551500405515005,7,2,0,0,0,4,23,False
269,0.0036496350364963502,202,5,0,0,0,4,23,False
205,0.017437145174371452,48,6,1,0,0,4,19,True
170,0.0113544201135442,48,6,1,0,0,4,19,True
199,0.005271695052716951,246,6,1,0,0,4,23,True
183,0.021897810218978103,37,5,1,0,0,4,16,True
202,0.006082725060827251,70,7,1,0,0,4,24,True
135,0.00932684509326845,153,8,1,0,0,4,15,True
56,0.005677210056772101,50,9,0,0,0,4,21,True
407,0.004866180048661801,68,8,1,0,0,4,18,False
90,0.006488240064882401,100,7,0,0,0,4,25,True
301,0.00040551500405515005,2,2,0,0,0,4,15,False
68,0.00851581508515815,264,5,0,0,0,4,25,True
195,0.04014598540145986,98,5,1,0,0,4,23,True
23,0.011759935117599351,213,5,1,1,0,4,24,True
440,0.0036496350364963502,175,11,1,0,0,4,23,False
297,0.0024330900243309007,201,5,0,0,0,4,16,False
190,0.029197080291970802,96,7,1,0,0,4,23,True
123,0.016220600162206,158,6,1,0,0,4,19,True
72,0.28426601784266015,283,7,0,0,0,4,13,True
13,0.00770478507704785,229,4,0,1,0,4,22,True
390,0.008110300081103,162,4,0,0,0,4,25,False
288,0.0,18,0,0,0,0,4,24,False
331,0.004866180048661801,271,2,0,0,0,4,24,False
168,0.6062449310624493,62,6,1,0,0,4,24,True
94,0.00932684509326845,227,7,1,1,0,4,24,True
169,1.0,74,4,1,0,0,4,24,True
443,0.027980535279805353,64,5,1,0,0,4,0,False
303,0.0,18,0,0,0,0,4,25,False
327,0.004055150040551501,173,5,0,0,0,4,18,False
