index,line_number,label,code_enc,tokens,has_external_call,has_require_assert,pragma_major,pragma_minor,pragma_patch
173,0.07576374745417516,1,152,7,1,0,0,4,24
210,0.0016293279022403257,0,132,5,1,0,0,4,24
158,0.013441955193482687,0,18,6,1,0,0,4,19
56,0.0012219959266802439,1,19,9,0,0,0,4,21
70,0.22321792260692466,0,75,6,0,0,0,4,13
127,0.0036659877800407333,0,77,7,1,0,0,4,0
13,0.0032586558044806523,1,122,4,0,1,0,4,22
78,0.2859470468431772,0,165,7,0,0,0,4,13
213,0.05254582484725051,0,93,6,1,0,0,4,0
85,0.0024439918533604886,1,55,7,0,0,0,4,25
211,0.013034623217922606,0,18,6,1,0,0,4,19
150,0.1739307535641548,0,101,5,1,0,0,4,11
51,0.03543788187372709,1,16,8,0,0,0,4,16
205,0.013034623217922606,0,18,6,1,0,0,4,19
67,0.0032586558044806523,0,149,8,0,0,0,4,25
108,0.01059063136456212,1,81,6,1,0,0,4,19
175,0.013034623217922606,0,18,6,1,0,0,4,19
202,0.0016293279022403257,1,34,7,1,0,0,4,24
183,0.017515274949083504,0,10,5,1,0,0,4,16
17,0.0,1,72,2,0,0,0,4,0
174,0.08065173116089613,1,152,7,1,0,0,4,24
188,0.023217922606924644,0,49,7,1,0,0,4,23
90,0.0020366598778004076,1,54,7,0,0,0,4,25
192,0.03665987780040733,0,134,8,1,0,0,4,23
14,0.0028513238289205704,1,113,4,1,1,0,4,24
3,0.0032586558044806523,1,59,2,0,0,0,4,24
86,0.0028513238289205704,1,83,4,0,0,0,4,25
32,0.005295315682281059,1,43,2,0,0,0,4,23
168,0.604480651731161,1,30,6,1,0,0,4,24
83,0.0020366598778004076,1,46,4,0,0,0,4,25
119,0.020773930753564155,1,81,6,1,0,0,4,19
121,0.011405295315682282,1,81,6,1,0,0,4,19
212,0.039511201629327905,0,155,3,1,0,0,4,0
89,0.004073319755600814,1,21,3,0,0,0,4,25
207,0.0020366598778004076,1,33,7,1,0,0,4,24
110,0.017107942973523423,1,81,6,1,0,0,4,19
61,0.04765784114052953,0,147,5,0,0,0,4,0
58,0.012219959266802444,0,26,8,0,0,0,4,0
156,0.034623217922606926,1,8,4,1,0,0,4,18
137,0.16863543788187374,0,2,9,1,0,0,4,23
193,0.0008146639511201629,1,133,6,1,0,0,4,24
170,0.006924643584521385,0,18,6,1,0,0,4,19
54,0.04154786150712831,1,27,3,0,0,0,4,16
220,0.0008146639511201629,0,90,4,1,0,0,4,0
133,0.0024439918533604886,1,28,7,1,0,0,4,19
125,0.006924643584521385,1,81,6,1,0,0,4,25
39,0.012219959266802444,1,138,4,0,0,0,4,23
191,0.025661914460285134,0,52,7,1,0,0,4,23
20,0.009775967413441954,1,96,6,1,0,0,4,24
77,0.285132382892057,0,164,7,0,0,0,4,13
179,0.06843177189409369,1,108,8,1,0,0,4,9
25,0.0024439918533604886,0,23,3,0,0,0,4,10
102,0.011405295315682282,1,3,2,0,0,0,4,19
163,0.006109979633401223,1,15,5,1,0,0,4,19
126,0.006924643584521385,1,81,6,1,0,0,4,25
189,0.024032586558044806,0,50,7,1,0,0,4,23
23,0.007331975560081466,1,111,5,1,1,0,4,24
186,0.0077393075356415484,1,40,9,1,0,0,4,18
196,0.038289205702647655,0,129,5,1,0,0,4,23
148,0.08187372708757638,1,152,7,1,0,0,4,24
42,0.0032586558044806523,1,112,6,1,1,0,4,18
120,0.017107942973523423,1,81,6,1,0,0,4,19
55,0.0594704684317719,1,27,3,0,0,0,4,16
118,0.013034623217922606,1,81,6,1,0,0,4,19
52,0.03625254582484725,1,17,8,1,0,0,4,16
145,0.0032586558044806523,1,105,2,0,0,0,4,25
93,0.014663951120162933,0,47,4,0,0,0,4,0
130,0.004887983706720978,1,82,6,1,0,0,4,18
97,0.0020366598778004076,0,117,4,0,1,0,4,22
30,0.0020366598778004076,1,43,2,0,0,0,4,19
82,0.0016293279022403257,1,80,4,0,0,0,4,25
41,0.004073319755600814,1,86,4,1,0,0,4,10
98,0.004480651731160895,1,103,3,1,0,0,4,16
